Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",1,4.26,Michael Joseph,Hardcover,416,2017,2017,,2023/02/05,,,read,Quite possibly the worst narration.,,,1,0
851557,I Want to be a Mathematician: An Automathography,Paul R. Halmos,"Halmos, Paul R.",,"=""0387960783""","=""9780387960784""",0,4.22,Springer,Hardcover,437,1985,1985,,2023/02/03,to-read,to-read (#168),to-read,,,,0,0
6025160,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,"Ahamed, Liaquat",,"=""159420182X""","=""9781594201820""",0,4.02,Penguin Press,Hardcover,564,2009,2009,,2023/01/09,to-read,to-read (#167),to-read,,,,0,0
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",0,3.60,Granta Books,Hardcover,247,2020,2018,,2022/12/30,to-read,to-read (#166),to-read,,,,0,0
18875176,The Great Divide: Nature and Human Nature in the Old World and the New,Peter Watson,"Watson, Peter",,"=""""","=""""",0,3.96,Harper,Kindle Edition,643,2012,2012,,2022/12/27,to-read,to-read (#165),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.16,Knopf,Hardcover,401,2022,2022,,2022/12/27,to-read,to-read (#164),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.17,Harper Voyager,ebook,545,2018,2018,,2022/12/20,to-read,to-read (#163),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.18,Harper Voyager,Hardcover,544,2022,2022,,2022/12/20,to-read,to-read (#162),to-read,,,,0,0
94797,Ghosts of Spain: Travels Through Spain and its Silent Past,Giles Tremlett,"Tremlett, Giles",,"=""0802715745""","=""9780802715746""",0,3.92,Walker Books,Hardcover,400,2007,2006,,2022/12/15,to-read,to-read (#160),to-read,,,,0,0
17362,Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne,"Thorne, Kip S.",Stephen Hawking,"=""0393312763""","=""9780393312768""",0,4.22,W. W. Norton & Company,Paperback,624,1995,1994,,2022/12/14,to-read,to-read (#159),to-read,,,,0,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",0,4.32,Random House,Hardcover,301,2021,2021,,2022/12/12,to-read,to-read (#158),to-read,,,,0,0
60916808,Animal Life,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""0802160166""","=""9780802160164""",0,3.66,Grove Atlantic,Paperback,192,2022,2020,,2022/12/07,to-read,to-read (#157),to-read,,,,0,0
38324273,Hotel Silence,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""1782274200""","=""""",0,3.82,Pushkin Press,Kindle Edition,180,2018,2016,,2022/12/07,to-read,to-read (#156),to-read,,,,0,0
59740806,Whole Numbers and Half Truths,Rukmini S.,"S., Rukmini",,"=""9391234674""","=""9789391234676""",0,4.22,Context,Hardcover,324,2021,,,2022/12/04,to-read,to-read (#155),to-read,,,,0,0
56587388,"How the World Really Works: A Scientist's Guide to Our Past, Present and Future",Vaclav Smil,"Smil, Vaclav",,"=""0241454409""","=""9780241454404""",0,3.97,Viking,Paperback,326,2022,2022,,2022/12/03,to-read,to-read (#154),to-read,,,,0,0
6419887,The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,William Kamkwamba,"Kamkwamba, William",Bryan Mealer,"=""0061730327""","=""9780061730320""",0,4.08,William Morrow,Hardcover,270,2009,2009,,2022/11/23,to-read,to-read (#153),to-read,,,,0,0
166396,Short Stories from Rabindranath Tagore,Rabindranath Tagore,"Tagore, Rabindranath",Pratima Bowes,"=""0856921440""","=""9780856921445""",0,4.23,East-West Publications,Paperback,249,1999,1917,,2022/11/20,to-read,to-read (#152),to-read,,,,0,0
36954169,Saved,Rabindranath Tagore,"Tagore, Rabindranath",,"=""""","=""""",0,2.50,,,4,,,,2022/11/20,to-read,to-read (#151),to-read,,,,0,0
67238,Dead Poets Society,N.H. Kleinbaum,"Kleinbaum, N.H.",Tom Schulman,"=""0553282980""","=""9780553282986""",0,4.18,Starfire,Paperback,166,1989,1988,,2022/10/27,to-read,to-read (#150),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2022/10/26,to-read,to-read (#149),to-read,,,,0,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.29,Bantam Books,Paperback,289,1993,1969,,2022/10/22,to-read,to-read (#148),to-read,,,,0,0
18078311,Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience,Shaun Usher,"Usher, Shaun",,"=""1782112235""","=""9781782112235""",0,4.32,Canongate Unbound,Hardcover,384,2013,2013,,2022/10/19,to-read,to-read (#147),to-read,,,,0,0
